,Prob,Word
0,0.042353783,model
1,0.022536853,featur
2,0.015943563,train
3,0.008698613,vector
4,0.008137452,document
5,0.007826016,predict
6,0.00749598,word
7,0.0069935797,test
8,0.006684519,case
9,0.0064602355,result
10,0.0058870898,dataset
11,0.005705451,point
12,0.0055931713,time
13,0.005536017,class
14,0.0051777796,code
15,0.0051736664,problem
16,0.004934397,paramet
17,0.0047305496,function
18,0.0047090077,output
19,0.0046738265,number
20,0.0046512596,score
21,0.0037758849,method
22,0.003689374,input
23,0.0036114154,work
24,0.0035598464,classifi
25,0.0035242075,probabl
26,0.0034932334,classif
27,0.003421822,valu
28,0.0033755405,learn
29,0.0033717758,label
