,Prob,Word
0,0.015511493,model
1,0.012206611,code
2,0.010218746,function
3,0.007826395,class
4,0.007723554,array
5,0.0076560425,featur
6,0.0074763778,train
7,0.006335665,number
8,0.0062619545,label
9,0.0059255506,case
10,0.0059161605,time
11,0.0053395173,error
12,0.005334633,run
13,0.005312006,paramet
14,0.0051255603,chang
15,0.004941818,problem
16,0.004441816,valu
17,0.0043666163,file
18,0.004307836,predict
19,0.0042141904,check
20,0.0041646506,line
21,0.0041302163,word
22,0.0039991303,test
23,0.0039767316,learn
24,0.0039437576,method
25,0.003935101,dataset
26,0.0037929353,column
27,0.0035243805,input
28,0.0034215378,question
29,0.003389355,imag
