,Prob,Word
0,0.034575697,layer
1,0.029074961,train
2,0.018820653,model
3,0.01714813,input
4,0.016022438,output
5,0.0160221,network
6,0.015209676,function
7,0.014427309,loss
8,0.013585997,weight
9,0.008951881,gradient
10,0.008705891,imag
11,0.008620952,learn
12,0.00828041,paramet
13,0.008042697,valid
14,0.0071155773,number
15,0.0067924014,accuraci
16,0.0064835106,problem
17,0.0063003413,shape
18,0.0062781977,predict
19,0.0062413896,featur
20,0.006123227,sampl
21,0.005998035,size
22,0.0059480546,neural
23,0.0056513273,valu
24,0.0055142595,dataset
25,0.0055091404,neuron
26,0.005415389,activ
27,0.0053890683,vector
28,0.005380357,random
29,0.0053608934,regress
