,Prob,Word
0,0.025461303,model
1,0.01729614,train
2,0.012269109,function
3,0.006871088,output
4,0.0066300635,test
5,0.0065349303,input
6,0.0064998297,result
7,0.006467296,valu
8,0.006088762,method
9,0.005999522,problem
10,0.005990141,sampl
11,0.0059182136,number
12,0.0058844676,predict
13,0.0055624405,class
14,0.0055267652,label
15,0.005407903,case
16,0.005391906,error
17,0.0053202645,encod
18,0.005116312,chang
19,0.005107641,run
20,0.0051008603,featur
21,0.005046303,fit
22,0.0049801,gener
23,0.004878153,code
24,0.00477251,learn
25,0.004404803,work
26,0.004183191,array
27,0.004109325,file
28,0.0040779086,time
29,0.0040608426,distribut
