,Prob,Word
0,0.013543765,code
1,0.010968963,cluster
2,0.01001636,model
3,0.0072234375,function
4,0.0066741346,point
5,0.006630751,output
6,0.006622892,train
7,0.0061094807,number
8,0.005972378,input
9,0.0059320317,problem
10,0.005848319,file
11,0.0056749946,valu
12,0.005525085,distanc
13,0.005236266,result
14,0.005194494,error
15,0.005110648,case
16,0.0049473746,paramet
17,0.0049173688,label
18,0.0047637913,method
19,0.0047636977,chang
20,0.0047451,shape
21,0.004700372,learn
22,0.004440265,start
23,0.004355417,class
24,0.0042012683,run
25,0.0040094717,time
26,0.0039581405,test
27,0.003935861,solut
28,0.003798837,dataset
29,0.0037565797,work
