,Prob,Word
0,0.038721673,word
1,0.016572218,sentenc
2,0.011542296,code
3,0.011316905,token
4,0.009715563,text
5,0.008026138,model
6,0.0064273067,case
7,0.005931315,train
8,0.0057817744,vector
9,0.00547703,depend
10,0.005266539,problem
11,0.005191875,gener
12,0.004455629,function
13,0.0044294912,languag
14,0.004329187,embed
15,0.004268554,tag
16,0.0042465483,corpu
17,0.004207555,output
18,0.004081841,learn
19,0.004033421,base
20,0.0040269797,note
21,0.0040229005,result
22,0.004001692,spaci
23,0.0038789085,work
24,0.003809672,similar
25,0.003726791,good
26,0.0037020536,check
27,0.0036755104,featur
28,0.0036521852,number
29,0.0036225065,string
