,Prob,Word
0,0.016632978,class
1,0.01027521,test
2,0.010001033,valu
3,0.009758081,case
4,0.0091570215,function
5,0.009075477,output
6,0.008326996,code
7,0.0075582904,method
8,0.0072659696,train
9,0.0070785913,problem
10,0.006969034,model
11,0.005400115,return
12,0.0053776545,predict
13,0.005206263,number
14,0.0051886933,file
15,0.0048868908,input
16,0.0048805918,result
17,0.0048216963,run
18,0.004685892,paramet
19,0.004594325,gener
20,0.004558407,error
21,0.004360931,featur
22,0.0043525817,time
23,0.004314558,variabl
24,0.004190676,element
25,0.004184475,pass
26,0.0041696965,fit
27,0.0040622363,default
28,0.003951756,chang
29,0.0038475615,note
