Platform,Num_of_Questions,Num_of_Accepted_Answers,Avg_View_Count,Avg_Fav_Count,Avg_Score
Salesforce,0,0,,,
Appian,0,0,,,
Outsystems,4,3,6486.25,1.75,7.75
AppMaker,0,0,,,
Zoho,12,3,1453.5833333333333,0.8,1.0833333333333333
Mendix,0,0,,,
PowerApps,0,0,,,
QuickBase,1,1,1355.0,1.0,2.0
Vinyl,0,0,,,
